
> my-app@0.1.0 dev
> next dev --hostname 0.0.0.0 --port 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://0.0.0.0:3000
- Environments: .env.local

✓ Starting...
✓ Ready in 913ms
 GET / 200 in 639ms (compile: 549ms, render: 90ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 30ms (compile: 6ms, render: 24ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 23ms (compile: 1506µs, render: 21ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 23ms (compile: 1494µs, render: 22ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 33ms (compile: 2ms, render: 31ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 39ms (compile: 1689µs, render: 37ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 31ms (compile: 1307µs, render: 30ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 27ms (compile: 1257µs, render: 25ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 25ms (compile: 2ms, render: 23ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 34ms (compile: 1589µs, render: 33ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 36ms (compile: 1925µs, render: 34ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 25ms (compile: 1251µs, render: 23ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 27ms (compile: 1110µs, render: 25ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 38ms (compile: 3ms, render: 35ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 26ms (compile: 1635µs, render: 24ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 27ms (compile: 1201µs, render: 25ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 41ms (compile: 1812µs, render: 39ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 40ms (compile: 8ms, render: 33ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 27ms (compile: 1242µs, render: 25ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 35ms (compile: 1097µs, render: 34ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 33ms (compile: 2ms, render: 31ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 32ms (compile: 1225µs, render: 31ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 39ms (compile: 1348µs, render: 37ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 38ms (compile: 1060µs, render: 37ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 33ms (compile: 1208µs, render: 32ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 24ms (compile: 1200µs, render: 23ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 34ms (compile: 1391µs, render: 33ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 33ms (compile: 2ms, render: 31ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 32ms (compile: 1195µs, render: 31ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 35ms (compile: 1177µs, render: 34ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 26ms (compile: 1091µs, render: 25ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 27ms (compile: 1470µs, render: 25ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 27ms (compile: 1734µs, render: 25ms)
 GET /pages/93b58fe3-0376-4bd9-85d0-17c87d836e79 200 in 32ms (compile: 1597µs, render: 31ms)
